<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20060725,000000,614.82,623.66,609.75,618.35,5486
20060726,000000,618.74,626.97,612.97,624.25,4331
20060727,000000,624.14,640.65,622.11,633.75,4494
20060728,000000,633.95,638.16,626.12,634.46,3782
20060731,000000,635.02,639.32,628.53,636.14,5848
20060801,000000,636.25,648.19,630.41,646.85,5015
20060802,000000,647.01,655.92,645.14,650.85,5397
20060803,000000,650.75,652.66,639.02,644.64,5162
20060804,000000,644.51,654.14,643.17,646.20,4503
20060807,000000,645.95,651.63,644.35,648.25,6493
20060808,000000,647.85,648.85,640.86,642.14,4501
20060809,000000,642.54,654.76,634.99,649.79,5468
20060810,000000,649.64,653.85,633.35,635.85,5547
20060811,000000,635.75,644.74,626.13,631.54,5006
20060814,000000,631.22,632.75,623.97,626.35,8006
20060815,000000,626.25,628.29,620.40,624.47,4852
20060816,000000,624.39,632.50,623.54,628.60,4851
20060817,000000,628.54,631.75,613.25,613.50,4848
20060818,000000,613.60,618.91,607.11,614.40,5233
20060821,000000,614.71,628.26,613.47,627.70,6507
20060822,000000,628.75,629.25,620.13,624.65,4530
20060823,000000,624.25,630.08,621.03,621.64,4520
20060824,000000,621.95,626.22,618.65,621.25,4655
20060825,000000,621.35,624.30,617.70,622.57,4093
20060828,000000,622.35,623.95,612.45,614.35,5353
20060829,000000,614.25,617.54,607.15,614.29,4481
20060830,000000,614.54,620.62,612.54,618.65,4283
20060831,000000,618.95,627.20,617.75,626.89,4413
20060901,000000,626.54,627.62,619.70,625.69,3443
20060904,000000,624.87,627.60,624.63,626.07,1557
20060905,000000,626.95,640.24,625.89,637.89,4486
20060906,000000,637.95,640.15,632.13,633.50,4589
20060907,000000,633.29,635.75,613.74,616.39,4889
20060908,000000,616.45,619.10,606.25,610.28,4679
20060911,000000,610.27,610.27,585.52,588.95,9307
20060912,000000,588.45,599.75,584.25,586.65,4819
20060913,000000,587.15,593.38,578.78,589.35,5128
20060914,000000,589.45,594.90,574.51,574.95,5309
20060915,000000,574.85,581.65,570.45,577.87,5618
20060918,000000,579.14,587.95,577.95,586.65,6516
20060919,000000,586.53,588.85,572.35,573.14,4595
20060920,000000,573.25,586.20,571.88,576.39,4964
20060921,000000,576.35,585.14,574.29,583.89,4585
20060922,000000,584.10,592.35,583.60,589.00,4176
20060925,000000,589.60,590.88,581.82,590.29,7548
20060926,000000,590.10,593.75,585.91,591.50,4299
20060927,000000,591.29,603.60,589.60,602.70,4038
20060928,000000,603.10,606.66,600.13,601.10,5108
20060929,000000,600.75,603.85,594.02,598.40,4775
20061002,000000,598.39,603.67,594.55,596.29,4203
20061003,000000,595.95,597.94,573.52,573.85,4995
20061004,000000,574.04,581.00,559.07,566.60,5102
20061005,000000,566.29,574.35,562.25,573.50,6383
20061006,000000,573.90,574.15,560.15,573.29,5535
20061009,000000,574.00,580.79,571.15,576.50,5652
20061010,000000,576.10,581.35,568.75,572.77,7335
20061011,000000,572.29,578.90,569.95,572.85,7031
20061012,000000,572.70,579.20,570.65,578.95,5863
20061013,000000,578.79,590.65,576.85,589.72,5469
20061016,000000,591.60,596.50,589.45,595.70,6683
20061017,000000,595.75,598.04,585.60,589.70,4991
20061018,000000,590.00,595.15,587.00,589.75,4796
20061019,000000,590.20,600.53,585.85,599.00,5886
20061020,000000,598.60,602.21,591.09,591.61,4932
20061023,000000,591.50,592.95,579.45,581.95,4516
20061024,000000,582.10,586.51,572.75,585.95,3741
20061025,000000,585.75,592.00,579.52,590.75,3072
20061026,000000,591.15,598.45,589.77,596.53,3424
20061027,000000,596.75,599.75,591.70,599.60,2893
20061030,000000,599.49,610.52,597.70,603.70,4195
20061031,000000,603.89,607.50,597.77,606.28,4397
20061101,000000,606.36,619.52,605.25,617.20,5448
20061102,000000,617.40,625.76,613.95,623.70,4348
20061103,000000,624.29,629.10,617.50,627.77,3417
20061106,000000,627.10,629.60,622.27,622.83,6239
20061107,000000,622.90,629.00,621.70,624.60,3067
20061108,000000,624.40,627.00,613.07,615.28,4057
20061109,000000,615.78,635.52,614.85,632.90,5298
20061110,000000,633.00,636.50,624.95,627.90,3991
20061113,000000,628.00,632.25,620.25,625.50,4233
20061114,000000,625.35,629.15,618.90,620.60,4041
20061115,000000,620.40,624.73,615.15,622.70,4494
20061116,000000,622.85,627.90,617.78,618.20,3323
20061117,000000,617.90,622.27,614.45,621.27,3304
20061120,000000,621.10,626.95,620.15,622.50,3482
20061121,000000,622.28,629.45,622.00,627.10,3165
20061122,000000,627.60,634.45,625.78,629.89,2718
20061123,000000,629.60,631.75,628.45,630.86,929
20061124,000000,630.87,639.94,630.25,638.05,2954
20061127,000000,639.70,641.89,636.52,640.20,4464
20061128,000000,640.40,641.77,632.52,639.60,2663
20061129,000000,639.40,640.60,634.60,636.00,2861
20061130,000000,636.10,648.65,636.10,647.60,2177
20061201,000000,647.90,649.75,643.27,645.70,2952
20061204,000000,645.65,647.95,640.45,645.78,2347
20061205,000000,645.90,648.50,638.45,643.50,3648
20061206,000000,642.65,642.65,628.01,631.50,3851
20061207,000000,630.45,634.40,624.52,633.53,3292
20061208,000000,633.03,637.85,623.35,624.52,3038
20061211,000000,624.75,630.45,622.85,630.02,4647
20061212,000000,630.20,630.95,626.65,629.65,2457
20061213,000000,629.75,630.27,623.10,628.25,3692
20061214,000000,627.95,629.28,625.02,625.45,3548
20061215,000000,625.35,629.00,614.32,615.45,2726
20061218,000000,615.09,618.22,612.25,615.75,5659
20061219,000000,615.85,622.82,614.70,622.53,3136
20061220,000000,622.75,624.29,618.97,620.03,3585
20061221,000000,619.95,622.25,617.60,618.10,3330
20061222,000000,618.40,621.35,618.10,620.95,2355
20061226,000000,620.96,629.45,620.96,624.28,1794
20061227,000000,624.40,629.02,623.73,626.78,3133
20061228,000000,626.90,635.52,626.50,634.50,2879
20061229,000000,634.60,636.78,631.86,636.35,2733
20070102,000000,637.78,641.00,637.45,640.10,2054
20070103,000000,640.00,644.74,625.23,627.10,3952
20070104,000000,626.70,630.47,620.52,621.90,4622
20070105,000000,621.50,625.90,601.75,606.44,4664
20070108,000000,608.85,610.21,603.54,609.60,4925
20070109,000000,609.50,615.44,605.70,613.28,4043
20070110,000000,613.10,614.10,605.95,611.00,4288
20070111,000000,610.90,615.98,608.45,611.20,4132
20070112,000000,611.10,627.29,609.45,625.78,3658
20070115,000000,626.10,627.74,624.65,626.28,3251
20070116,000000,626.09,628.02,622.63,624.40,4209
20070117,000000,624.28,633.65,621.45,631.50,3403
20070118,000000,631.40,636.15,626.37,627.28,4384
20070119,000000,627.10,635.95,626.95,635.12,3252
20070122,000000,635.57,639.45,631.85,633.00,5502
20070123,000000,632.90,647.64,632.59,646.28,6692
20070124,000000,646.26,648.60,638.72,648.38,10453
20070125,000000,648.52,654.21,644.53,645.65,8697
20070126,000000,645.52,647.77,640.71,645.83,8381
20070129,000000,646.30,647.54,640.60,643.20,14886
20070130,000000,643.10,646.95,640.59,646.75,5868
20070131,000000,646.64,654.40,641.93,652.45,6676
20070201,000000,652.75,661.21,651.85,656.80,8036
20070202,000000,656.75,659.50,642.80,647.50,5657
20070205,000000,647.75,651.80,645.85,648.05,5807
20070206,000000,648.01,658.20,647.76,653.10,5948
20070207,000000,653.05,656.50,650.00,651.00,6108
20070208,000000,651.05,660.95,647.60,660.00,7507
20070209,000000,659.91,668.70,656.80,666.40,6823
20070212,000000,667.55,668.25,659.50,660.70,9424
20070213,000000,660.75,668.85,660.45,663.85,6776
20070214,000000,663.80,671.65,663.30,668.65,7158
20070215,000000,668.60,670.25,662.15,669.25,6268
20070216,000000,669.30,669.65,662.60,668.90,5793
20070219,000000,668.40,673.03,667.35,670.25,3295
20070220,000000,670.30,671.75,655.50,656.85,6756
20070221,000000,657.25,682.20,656.80,678.45,8317
20070222,000000,678.50,680.80,674.95,677.05,6609
20070223,000000,677.00,688.10,672.55,682.90,7365
20070226,000000,680.70,687.90,680.70,686.11,13758
20070227,000000,686.21,688.80,657.40,662.96,15123
20070228,000000,662.85,677.30,661.00,668.91,18880
20070301,000000,668.96,677.15,661.45,664.01,16340
20070302,000000,664.00,665.46,639.27,642.60,19151
20070305,000000,642.50,644.55,632.95,636.14,19091
20070306,000000,636.10,647.64,632.30,646.25,8871
20070307,000000,646.35,651.55,642.55,648.60,8668
20070308,000000,648.55,655.55,647.05,651.35,11788
20070309,000000,651.61,657.85,647.45,647.95,13554
20070312,000000,650.25,653.64,645.30,650.61,10390
20070313,000000,650.51,652.00,641.39,643.10,7320
20070314,000000,643.20,645.75,636.64,643.85,8131
20070315,000000,643.25,650.00,643.05,645.89,6007
20070316,000000,646.75,655.15,645.64,652.95,6204
20070319,000000,654.70,656.15,651.95,653.40,5763
20070320,000000,654.35,660.90,652.60,658.00,5776
20070321,000000,658.20,664.55,656.75,664.55,5861
20070322,000000,663.85,666.60,661.90,663.50,5074
20070323,000000,663.65,664.55,654.95,656.65,5346
20070326,000000,657.36,665.50,656.81,663.90,5247
20070327,000000,663.85,665.50,661.65,664.15,4793
20070328,000000,664.10,669.20,663.35,665.35,5891
20070329,000000,665.45,665.85,655.30,661.25,5008
20070330,000000,661.30,667.60,660.65,663.30,5103
20070402,000000,665.25,666.00,656.05,663.75,5843
20070403,000000,663.70,667.40,661.80,663.95,6601
20070404,000000,664.00,675.45,663.61,673.86,9749
20070405,000000,673.96,675.55,671.45,674.51,6685
20070406,000000,674.46,674.61,672.71,674.41,108
20070409,000000,673.21,677.70,670.40,670.90,6216
20070410,000000,671.10,681.45,670.80,677.50,5606
20070411,000000,677.45,680.65,674.25,677.00,6030
20070412,000000,676.95,679.65,671.20,675.85,5647
20070413,000000,675.65,685.65,675.55,684.75,5272
20070416,000000,685.76,691.05,682.90,689.85,6451
20070417,000000,689.80,690.75,685.75,686.40,6036
20070418,000000,686.45,690.80,685.40,689.75,5969
20070419,000000,689.70,691.40,678.95,682.70,7014
20070420,000000,682.65,693.50,682.35,691.45,5449
20070423,000000,691.70,693.55,686.80,688.85,7134
20070424,000000,688.80,691.70,680.75,683.70,7335
20070425,000000,683.75,686.65,682.00,685.85,5791
20070426,000000,685.80,686.70,671.25,674.55,6177
20070427,000000,674.50,681.55,670.65,681.10,5720
20070430,000000,680.95,682.15,675.65,678.20,4931
20070501,000000,678.15,679.05,671.75,673.30,5026
20070502,000000,673.45,674.95,667.45,672.85,5558
20070503,000000,672.80,682.40,671.90,681.75,4616
20070504,000000,681.80,690.50,680.10,688.40,4800
20070507,000000,688.00,690.70,686.40,688.35,4301
20070508,000000,688.30,688.60,681.95,685.35,5585
20070509,000000,685.30,686.55,675.65,680.25,5782
20070510,000000,680.20,681.00,664.25,665.65,6528
20070511,000000,665.70,672.75,664.40,670.60,6126
20070514,000000,670.80,674.98,666.23,669.50,9678
20070515,000000,669.55,673.45,664.90,672.00,9041
20070516,000000,672.05,673.23,659.75,661.80,11000
20070517,000000,661.88,664.45,653.85,657.40,11429
20070518,000000,657.45,662.88,655.78,661.17,10184
20070521,000000,661.43,663.85,657.03,662.98,9612
20070522,000000,662.93,665.13,658.22,659.20,8538
20070523,000000,659.10,664.50,657.35,661.55,9580
20070524,000000,661.65,662.60,651.90,654.30,10604
20070525,000000,654.25,656.78,653.25,655.75,7972
20070527,000000,655.85,655.85,655.85,655.85,1
20070528,000000,655.25,656.35,654.90,655.30,1408
20070529,000000,655.35,662.45,654.60,656.83,8182
20070530,000000,656.85,658.68,652.00,653.25,8232
20070531,000000,653.35,661.73,652.78,660.40,8785
20070601,000000,660.43,671.53,660.35,671.25,9234
20070604,000000,671.15,673.80,668.58,670.90,8768
20070605,000000,670.85,673.43,669.00,669.75,8339
20070606,000000,669.78,672.03,665.00,670.50,10443
20070607,000000,670.58,672.90,658.20,658.88,11401
20070608,000000,658.90,661.35,644.10,648.30,13900
20070611,000000,648.95,654.95,648.50,653.40,8861
20070612,000000,653.45,654.43,645.57,646.90,9817
20070613,000000,647.00,652.45,643.00,651.35,10551
20070614,000000,651.38,654.10,645.93,651.65,10043
20070615,000000,651.70,655.75,650.00,654.90,8972
20070618,000000,655.35,659.13,654.60,655.95,7130
20070619,000000,656.00,661.95,653.80,661.30,9069
20070620,000000,661.25,661.85,652.25,654.30,8771
20070621,000000,654.28,656.50,647.85,651.90,10754
20070622,000000,651.80,656.15,650.70,653.75,9251
20070625,000000,653.85,654.30,648.70,650.90,9022
20070626,000000,650.93,651.80,640.50,641.10,10396
20070627,000000,641.15,644.75,639.22,643.35,10621
20070628,000000,643.38,649.70,643.00,648.65,8633
20070629,000000,648.60,652.50,646.38,649.20,7618
20070701,000000,649.25,649.25,649.25,649.25,1
20070702,000000,649.60,658.58,648.70,656.95,8742
20070703,000000,656.85,657.95,651.93,652.95,7011
20070704,000000,652.98,654.88,652.70,654.05,2150
20070705,000000,654.20,656.48,645.55,649.25,8191
20070706,000000,649.35,655.78,645.03,655.40,9237
20070709,000000,655.60,663.90,653.80,660.20,9432
20070710,000000,660.15,664.73,658.58,663.13,9914
20070711,000000,663.15,665.90,659.80,660.83,8846
20070712,000000,660.85,669.13,660.40,666.65,9148
20070713,000000,666.80,668.55,663.35,666.45,9815
20070716,000000,667.10,668.75,663.45,664.65,8418
20070717,000000,664.60,667.30,662.50,664.65,9174
20070718,000000,664.60,674.10,664.30,672.70,10751
20070719,000000,672.78,677.65,671.50,677.20,9820
20070720,000000,677.23,686.70,675.35,682.95,10009
20070723,000000,683.30,684.95,680.10,681.40,6729
20070724,000000,681.35,687.80,680.55,680.65,9864
20070725,000000,680.60,681.95,670.40,674.90,12666
20070726,000000,674.93,676.78,654.40,662.65,15426
20070727,000000,662.68,666.85,656.58,660.60,13332
20070730,000000,661.15,665.55,659.83,664.60,8772
20070731,000000,664.57,668.68,663.50,664.00,10266
20070801,000000,664.05,666.95,659.15,666.75,13254
20070802,000000,666.70,667.50,662.53,665.35,10558
20070803,000000,665.45,675.35,664.75,672.60,9898
20070806,000000,675.25,675.35,669.00,671.75,9478
20070807,000000,671.80,672.50,666.03,672.10,11373
20070808,000000,672.05,676.80,669.63,674.50,9008
20070809,000000,674.53,674.75,659.20,661.78,14672
20070810,000000,661.75,676.28,657.95,672.45,16356
20070813,000000,672.40,672.80,668.35,669.23,9759
20070814,000000,669.20,671.43,665.70,668.85,10542
20070815,000000,668.90,670.75,662.10,667.45,13644
20070816,000000,667.40,667.85,641.75,652.35,19569
20070817,000000,652.38,663.85,645.40,657.35,16929
20070820,000000,657.38,660.53,653.03,657.45,13086
20070821,000000,657.50,659.98,654.32,657.18,13761
20070822,000000,657.23,661.70,654.55,660.60,9893
20070823,000000,660.63,664.85,658.53,659.95,12246
20070824,000000,659.93,668.85,657.45,667.85,10195
20070827,000000,668.15,668.40,665.48,667.40,7973
20070828,000000,667.47,668.20,661.95,662.55,11537
20070829,000000,662.58,669.08,661.15,667.30,10322
20070830,000000,667.40,667.95,663.47,665.05,10851
20070831,000000,665.10,674.85,664.30,672.95,10958
20070902,000000,672.70,673.20,672.70,672.70,3
20070903,000000,672.95,673.60,671.38,672.00,2132
20070904,000000,672.25,683.32,671.35,681.55,12179
20070905,000000,681.53,682.90,678.30,681.68,13769
20070906,000000,681.70,697.63,680.98,695.20,15561
20070907,000000,695.18,706.78,692.00,700.48,16166
20070909,000000,700.43,700.43,700.43,700.43,1
20070910,000000,700.28,706.78,699.00,702.88,12375
20070911,000000,702.85,714.20,702.38,712.25,12945
20070912,000000,712.40,714.23,705.63,711.38,14341
20070913,000000,711.35,712.20,703.28,708.10,13521
20070914,000000,707.95,717.25,703.95,707.05,13286
20070917,000000,706.95,720.00,706.00,717.55,12831
20070918,000000,717.50,727.05,711.45,723.35,15234
20070919,000000,723.45,726.45,719.60,721.15,17238
20070920,000000,720.95,738.40,720.85,733.55,17948
20070921,000000,733.60,739.55,726.53,731.05,17129
20070924,000000,730.80,736.35,725.93,730.13,15978
20070925,000000,730.10,733.55,722.00,731.45,17609
20070926,000000,731.40,736.70,726.40,728.82,13046
20070927,000000,728.80,735.90,726.90,734.28,14231
20070928,000000,734.20,745.85,733.30,743.20,16550
20071001,000000,743.65,747.80,740.97,746.95,13618
20071002,000000,746.90,747.10,724.40,731.38,20542
20071003,000000,731.35,736.08,726.25,727.78,16575
20071004,000000,727.60,738.40,720.70,737.70,17755
20071005,000000,737.60,744.28,726.75,741.95,13313
20071008,000000,742.20,742.20,731.20,733.10,10824
20071009,000000,733.15,740.50,726.55,737.85,16025
20071010,000000,738.05,745.95,737.25,740.85,13957
20071011,000000,740.84,753.70,740.40,747.60,16507
20071012,000000,747.80,752.55,744.85,749.38,16102
20071015,000000,749.10,760.05,747.35,759.30,15014
20071016,000000,759.43,767.10,753.60,760.22,21103
20071017,000000,760.30,764.70,751.55,754.90,23596
20071018,000000,754.93,768.83,754.32,767.80,20186
20071019,000000,767.82,770.95,758.13,764.90,19481
20071022,000000,765.85,768.20,745.08,753.97,28065
20071023,000000,754.03,761.00,752.70,759.40,16014
20071024,000000,759.35,764.15,753.72,763.55,16865
20071025,000000,763.57,769.45,761.70,769.08,14984
20071026,000000,769.05,785.70,768.30,784.75,18221
20071028,000000,785.00,785.15,785.00,785.15,2
20071029,000000,784.50,794.60,783.90,790.70,20311
20071030,000000,790.55,792.20,779.10,781.25,17594
20071031,000000,781.45,797.30,776.80,795.75,20129
20071101,000000,795.80,799.30,783.83,787.55,22597
20071102,000000,787.45,808.00,787.20,806.60,19485
20071104,000000,806.40,806.40,806.40,806.40,1
20071105,000000,807.10,811.55,800.85,806.15,20995
20071106,000000,806.08,824.93,806.05,824.70,22147
20071107,000000,824.60,845.65,822.25,830.65,36692
20071108,000000,830.53,845.55,822.95,833.03,33898
20071109,000000,832.95,838.93,826.65,831.65,25447
20071112,000000,831.55,831.70,791.40,792.97,30682
20071113,000000,792.88,809.00,790.28,801.58,30907
20071114,000000,801.65,815.95,798.95,811.65,23250
20071115,000000,811.73,818.25,782.50,788.10,29047
20071116,000000,787.93,797.45,783.88,785.92,27330
20071119,000000,786.17,794.05,775.00,781.50,23562
20071120,000000,781.40,805.80,772.70,802.70,24988
20071121,000000,802.85,807.18,794.50,800.10,23814
20071122,000000,799.98,805.55,798.05,804.05,6895
20071123,000000,804.00,825.67,802.75,824.05,18445
