<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120723,000000,27.182,27.301,26.657,26.984,23957
20120724,000000,27.013,27.172,26.614,26.836,27105
20120725,000000,26.952,27.558,26.825,27.308,28021
20120726,000000,27.343,27.818,27.242,27.409,29397
20120727,000000,27.464,27.852,27.357,27.716,28203
20120730,000000,27.698,28.222,27.551,28.129,25621
20120731,000000,28.157,28.357,27.894,27.894,23714
20120801,000000,27.941,28.047,27.078,27.314,26642
20120802,000000,27.372,27.802,26.957,27.091,29832
20120803,000000,27.127,27.889,26.986,27.771,20641
20120806,000000,27.800,27.986,27.602,27.866,22923
20120807,000000,27.852,28.219,27.764,28.105,18469
20120808,000000,28.075,28.240,27.702,27.973,21981
20120809,000000,28.023,28.221,27.874,28.097,20482
20120810,000000,28.124,28.319,27.593,28.074,22899
20120813,000000,28.124,28.173,27.731,27.740,22224
20120814,000000,27.791,28.007,27.625,27.654,22100
20120815,000000,27.772,27.991,27.487,27.771,21993
20120816,000000,27.774,28.268,27.715,28.143,14670
20120817,000000,28.150,28.318,27.994,28.046,13755
20120820,000000,28.065,28.820,27.923,28.748,14391
20120821,000000,28.756,29.500,28.647,29.236,17875
20120822,000000,29.277,29.893,29.203,29.786,24445
20120823,000000,29.782,30.806,29.766,30.423,25953
20120824,000000,30.519,30.780,30.215,30.754,20696
20120827,000000,30.745,31.229,30.615,30.643,20989
20120828,000000,30.689,30.980,30.511,30.789,19917
20120829,000000,30.849,30.958,30.536,30.679,20399
20120830,000000,30.638,30.891,30.201,30.397,22760
20120831,000000,30.374,31.732,30.234,31.683,25836
20120903,000000,31.639,32.290,31.488,32.042,17502
20120904,000000,32.100,32.392,31.905,32.296,23517
20120905,000000,32.255,32.354,31.937,32.198,23881
20120906,000000,32.231,32.975,32.178,32.635,28364
20120907,000000,32.615,33.698,31.936,33.638,30584
20120910,000000,33.562,33.936,33.229,33.284,26410
20120911,000000,33.320,33.814,33.313,33.419,23876
20120912,000000,33.392,34.080,32.454,33.210,33360
