<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200221,190000,18.495,18.545,18.485,18.512,3720
20200221,200000,18.511,18.588,18.498,18.579,3656
20200221,210000,18.580,18.582,18.507,18.527,3151
20200221,220000,18.526,18.548,18.484,18.484,2171
20200221,230000,18.486,18.493,18.468,18.474,608
20200224,010000,18.653,18.807,18.587,18.659,6197
20200224,020000,18.660,18.673,18.592,18.609,4297
20200224,030000,18.611,18.770,18.570,18.671,9263
20200224,040000,18.667,18.719,18.646,18.689,4585
20200224,050000,18.689,18.691,18.620,18.646,3126
20200224,060000,18.645,18.669,18.618,18.667,1191
20200224,070000,18.669,18.681,18.618,18.639,2786
20200224,080000,18.638,18.679,18.612,18.663,3298
20200224,090000,18.665,18.722,18.645,18.699,4729
20200224,100000,18.700,18.831,18.693,18.739,8312
20200224,110000,18.738,18.891,18.734,18.784,7606
20200224,120000,18.783,18.811,18.734,18.806,4722
20200224,130000,18.806,18.830,18.762,18.789,4634
20200224,140000,18.790,18.790,18.718,18.763,5384
20200224,150000,18.765,18.765,18.669,18.743,7594
20200224,160000,18.742,18.821,18.698,18.711,10859
20200224,170000,18.713,18.766,18.676,18.766,9292
20200224,180000,18.767,18.791,18.720,18.780,6564
20200224,190000,18.781,18.862,18.776,18.862,5287
20200224,200000,18.863,18.933,18.831,18.875,5738
20200224,210000,18.875,18.888,18.575,18.588,7687
20200224,220000,18.585,18.639,18.524,18.637,7010
20200224,230000,18.638,18.677,18.592,18.610,1646
20200225,010000,18.625,18.647,18.571,18.595,3665
20200225,020000,18.594,18.603,18.527,18.537,5726
20200225,030000,18.536,18.596,18.447,18.592,8655
20200225,040000,18.592,18.631,18.579,18.600,4980
20200225,050000,18.601,18.623,18.586,18.594,2952
20200225,060000,18.593,18.609,18.568,18.570,1387
20200225,070000,18.569,18.572,18.478,18.514,4311
20200225,080000,18.513,18.522,18.271,18.320,7663
20200225,090000,18.318,18.368,18.245,18.327,5724
20200225,100000,18.326,18.446,18.311,18.446,7701
20200225,110000,18.446,18.454,18.396,18.417,5291
20200225,120000,18.417,18.447,18.403,18.435,4835
20200225,130000,18.432,18.437,18.332,18.363,5880
20200225,140000,18.364,18.393,18.317,18.378,6215
20200225,150000,18.378,18.451,18.349,18.365,5896
20200225,160000,18.367,18.396,18.318,18.361,9366
20200225,170000,18.362,18.413,18.305,18.335,12076
20200225,180000,18.336,18.361,18.174,18.195,9623
20200225,190000,18.194,18.236,18.143,18.232,6266
20200225,200000,18.233,18.246,18.167,18.171,5882
20200225,210000,18.170,18.267,18.141,18.219,8379
20200225,220000,18.219,18.219,17.841,17.875,7284
20200225,230000,17.878,17.996,17.878,17.975,1708
20200226,010000,17.966,18.053,17.957,18.044,1936
20200226,020000,18.044,18.074,18.004,18.070,3390
20200226,030000,18.070,18.183,18.034,18.120,7637
20200226,040000,18.121,18.145,18.070,18.097,4977
20200226,050000,18.096,18.103,18.028,18.055,3718
20200226,060000,18.056,18.090,18.053,18.081,1682
20200226,070000,18.082,18.144,18.061,18.067,3546
20200226,080000,18.065,18.100,18.050,18.087,3453
20200226,090000,18.086,18.116,18.060,18.069,5452
20200226,100000,18.072,18.151,18.029,18.122,6975
20200226,110000,18.121,18.195,18.118,18.128,6249
20200226,120000,18.128,18.128,18.060,18.078,3712
20200226,130000,18.074,18.085,18.056,18.072,2915
20200226,140000,18.072,18.077,17.981,18.033,5872
20200226,150000,18.032,18.033,17.828,17.851,6846
20200226,160000,17.852,17.941,17.775,17.875,8118
20200226,170000,17.872,17.952,17.833,17.881,8879
20200226,180000,17.882,17.921,17.857,17.903,5790
20200226,190000,17.901,17.948,17.855,17.866,6335
20200226,200000,17.863,17.962,17.847,17.947,6547
20200226,210000,17.950,18.000,17.920,17.970,5739
20200226,220000,17.969,17.976,17.866,17.867,4565
20200226,230000,17.866,17.921,17.866,17.896,857
20200227,010000,17.901,17.929,17.877,17.906,2115
20200227,020000,17.905,17.950,17.889,17.942,3072
20200227,030000,17.944,18.034,17.944,18.009,5828
20200227,040000,18.008,18.035,17.987,18.000,2612
20200227,050000,18.001,18.047,17.981,18.044,1929
20200227,060000,18.043,18.075,18.035,18.068,1306
20200227,070000,18.067,18.108,18.008,18.091,3430
20200227,080000,18.091,18.126,18.007,18.027,2996
20200227,090000,18.023,18.058,17.996,18.053,4476
20200227,100000,18.052,18.076,17.987,18.003,4802
20200227,110000,18.003,18.029,17.958,18.022,3434
20200227,120000,18.020,18.031,17.950,18.022,2777
20200227,130000,18.021,18.043,17.999,18.033,2575
20200227,140000,18.034,18.085,17.998,18.075,4117
20200227,150000,18.077,18.088,17.967,17.995,5837
20200227,160000,17.994,18.022,17.929,17.965,9359
20200227,170000,17.962,17.984,17.864,17.869,9739
